date,tube_food_control_ID,empty_tube_food_control_mass,fw_filled_tube_food_control_mass,dw_filled_tube_food_control_mass,tube_food_control_unit,food_fw,food_dw,food_water_content,food_C,food_N,food_P,food_S,food_Na,food_Mg,food_K,food_Ca,food_d13C,food_d15N
26/10/2021,FC-w1-d1,5546.1,6179.8,5703.4,mg,,,,47,4.3,4978,2117,372,1120,,811,-21.3,0.6
27/10/2021,FC-w1-d2,5560.6,6293.5,5749.3,mg,,,,47,4.3,4978,2117,372,1120,,811,-21.3,0.6
28/10/2021,FC-w1-d3,5575.5,7502.9,6069.9,mg,,,,47,4.3,4978,2117,372,1120,,811,-21.3,0.6
2/11/2021,FC-w2-d1,5537.3,7021.3,5921.8,mg,,,,46.6,4.2,4900,2085,370,1128,,829,-21.6,0.6
3/11/2021,FC-w2-d2,5540,6747.4,5858.6,mg,,,,46.6,4.2,4900,2085,370,1128,,829,-21.6,0.6
4/11/2021,FC-w2-d3,5566.4,6291.5,5744.4,mg,,,,46.6,4.2,4900,2085,370,1128,,829,-21.6,0.6
9/11/2021,FC-w3-d1,5548.7,6923,5903.2,mg,,,,47.5,4.2,5076,2125,389,1191,,1103,-21.3,0.9
10/11/2021,FC-w3-d2,5546,6283.7,5730.9,mg,,,,47.5,4.2,5076,2125,389,1191,,1103,-21.3,0.9
11/11/2021,FC-w3-d3,5530.3,6208.6,5697.2,mg,,,,47.5,4.2,5076,2125,389,1191,,1103,-21.3,0.9
16/11/2021,FC-w4-d1,5543.1,6160.5,5709.2,mg,,,,46.3,4.4,5048,2047,383,1136,,846,-21.8,0.5
17/11/2021,FC-w4-d2,5562.8,6407.2,5781.7,mg,,,,46.3,4.4,5048,2047,383,1136,,846,-21.8,0.5
18/11/2021,FC-w4-d3,5555,6140.5,5696.1,mg,,,,46.3,4.4,5048,2047,383,1136,,846,-21.8,0.5
23/11/2021,FC-w5-d1,5545.6,6278.8,5733.2,mg,,,,45,4.1,5025,2067,378,1119,,1007,-21,1
24/11/2021,FC-w5-d2,5588.2,6238.6,5745,mg,,,,45,4.1,5025,2067,378,1119,,1007,-21,1
25/11/2021,FC-w5-d3,5553.9,6120.9,5695.1,mg,,,,45,4.1,5025,2067,378,1119,,1007,-21,1
11/1/2022,FC-w6-d1,5533.7,6207.5,5713.4,mg,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/1/2022,FC-w6-d2,5570.8,6137.2,5712.8,mg,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/01/2022,FC-w6-d3,5540.4,6373.3,5749.7,mg,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/01/2022,FC-w7-d1,5551.6,6357.7,5754.8,mg,,,,43.5,4,4923,2057,259,1108,,927,-21.2,0.9
19/01/2022,FC-w7-d2,5571.5,6202,5729,mg,,,,43.5,4,4923,2057,259,1108,,927,-21.2,0.9
20/01/2022,FC-w7-d3,5566.7,5934.1,5654.4,mg,,,,43.5,4,4923,2057,259,1108,,927,-21.2,0.9
25/01/2022,FC-w8-d1,5542.9,6369.5,5752.5,mg,,,,48.4,4.5,5066,2078,259,1132,,910,-20.9,1
26/01/2022,FC-w8-d2,5560.2,6293.2,5747.8,mg,,,,48.4,4.5,5066,2078,259,1132,,910,-20.9,1
27/01/2022,FC-w8-d3,5564,6233,5734.5,mg,,,,48.4,4.5,5066,2078,259,1132,,910,-20.9,1
1/2/2022,FC-w9-d1,5550.9,6434.7,5777.1,mg,,,,47.3,4.4,4961,2091,252,1122,,1035,-21.3,0.9
2/2/2022,FC-w9-d2,5562.3,6293.8,5746.5,mg,,,,47.3,4.4,4961,2091,252,1122,,1035,-21.3,0.9
3/2/2022,FC-w9-d3,5555,6199.4,5722,mg,,,,47.3,4.4,4961,2091,252,1122,,1035,-21.3,0.9
8/2/2022,FC-w10-d1,5536,6083.9,5669.7,mg,,,,46.3,4.2,4999,2074,258,1137,,1118,-21,0.7
9/2/2022,FC-w10-d2,5556.6,6183.8,5715.8,mg,,,,46.3,4.2,4999,2074,258,1137,,1118,-21,0.7
10/2/2022,FC-w10-d3,5567.7,6337.2,5760,mg,,,,46.3,4.2,4999,2074,258,1137,,1118,-21,0.7
15/02/2022,FC-w11-d1,5499.4,6144.8,5666.3,mg,,,,44,3.9,5085,2105,261,1156,,1189,-21,1
16/02/2022,FC-w11-d2,5480.3,5965.5,5610.9,mg,,,,44,3.9,5085,2105,261,1156,,1189,-21,1
17/02/2022,FC-w12-d3,5483.8,6128,5648.3,mg,,,,44,3.9,5085,2105,261,1156,,1189,-21,1
