individual_ID,group_ID,treatment_ID,sex,food_provided_ww,food_provided_unit,bodymass_7th_instar_j0_ww,bodymass_7th_instar_j1_ww,bodymass_7th_instar_j2_ww,bodymass_7th_instar_j3_ww,bodymass_7th_instar_j3_dw,bodymass_7th_instar_j16_ww,bodymass_imago_ww,bodymass_imago_dw,bodymass_unit,tube_egestion_ID,empty_tube_egestion_mass,filled_tube_egestion_mass,tube_egestion_mass_unit,egestion_mass,egestion_mass_unit,tube_food_ID,empty_tube_food_mass,filled_tube_food_mass,tube_food_mass_unit,food_mass,food_mass_unit,seventh_instar_date,pre_pupa_date,pupa_date,first_collection_date,last_collection_date,number_collection_days,body_analysis,emergence,individual_removed,reason
1,1,1,,120,mg_ww/day,385.1,461.8,513.5,550.3,,,,,mg,E-T1-G1-I1-CA,5543.4,5580.9,mg,,mg_dw,F-T1-G1-I1-CA,5555.9,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
2,1,1,F,120,mg_ww/day,218.1,285.7,343.3,408,,206.8,61.6,22.2,mg,E-T1-G1-I2-EP,5563.1,5603.1,mg,,mg_dw,F-T1-G1-I2-EP,5565.4,NA,mg,,mg_dw,26/10/2021,,02/11/2021,27/10/2021,,,0,1,,
3,1,1,,120,mg_ww/day,338,393,464.9,505.9,,,,,mg,E-T1-G1-I3-CA,5548.5,5589.6,mg,,mg_dw,F-T1-G1-I3-CA,5545.1,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
4,1,1,M,120,mg_ww/day,222.2,275,339,397,,208.4,76.3,23.7,mg,E-T1-G1-I4-EP,5560.3,5604.1,mg,,mg_dw,F-T1-G1-I4-EP,5555.2,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
5,2,1,,120,mg_ww/day,281.3,354.5,413.4,474.3,,,,,mg,E-T1-G2-I5-CA,5568.2,5602.8,mg,,mg_dw,F-T1-G2-I5-CA,5549.5,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
6,2,1,F,120,mg_ww/day,444.5,496.8,563.9,608.1,,280.1,105.4,33.4,mg,E-T1-G2-I6-EP,5531.9,5567.6,mg,,mg_dw,F-T1-G2-I6-EP,5555.9,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
7,2,1,,120,mg_ww/day,288.9,357.6,406.9,487.4,,,,,mg,E-T1-G2-I7-CA,5550.1,5582.3,mg,,mg_dw,F-T1-G2-I7-CA,5567.7,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
8,2,1,F,120,mg_ww/day,397.6,438.8,479.8,535.4,,252.4,104.4,32.7,mg,E-T1-G2-I8-EP,5551.3,5583.1,mg,,mg_dw,F-T1-G2-I8-EP,5534.1,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
9,3,2,,240,mg_ww/day,359.4,485.1,642,486.2,,,,,mg,E-T2-G3-I9-CA,5555.7,5595,mg,,mg_dw,F-T2-G3-I9-CA,5535.3,NA,mg,,mg_dw,26/10/2021,29/10/2021,,27/10/2021,,,1,NA,,
10,3,2,F,240,mg_ww/day,322,445.8,594.6,733.6,,322.4,118.3,40.4,mg,E-T2-G3-I10-EP,5539.8,5607.6,mg,,mg_dw,F-T2-G3-I10-EP,5557.8,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
11,3,2,,240,mg_ww/day,304.3,402.5,559,704.6,,,,,mg,E-T2-G3-I11-CA,5571.1,5646.5,mg,,mg_dw,F-T2-G3-I11-CA,5540.7,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
12,3,2,M,240,mg_ww/day,376.1,480.7,612,460.9,,275,87.3,33.8,mg,E-T2-G3-I12-EP,5548.2,5605.3,mg,,mg_dw,F-T2-G3-I12-EP,5555.7,NA,mg,,mg_dw,26/10/2021,29/10/2021,01/11/2021,27/10/2021,,,0,1,,
13,4,2,,240,mg_ww/day,311.1,434.4,579.8,703.9,,,,,mg,E-T2-G4-I13-CA,5551.3,5632,mg,,mg_dw,F-T2-G4-I13-CA,5562.1,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
14,4,2,F,240,mg_ww/day,314.4,426,590.6,720.2,,307.2,140.3,49.4,mg,E-T2-G4-I14-EP,5555.6,5620.9,mg,,mg_dw,F-T2-G4-I14-EP,5565.3,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
15,4,2,,240,mg_ww/day,316.1,440.5,588,711.6,,,,,mg,E-T2-G4-I15-CA,5533.4,5610.1,mg,,mg_dw,F-T2-G4-I15-CA,5547.1,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
16,4,2,F,240,mg_ww/day,377.8,498.5,650.2,774.2,,339.4,139.7,51.8,mg,E-T2-G4-I16-EP,5528.6,5596.8,mg,,mg_dw,F-T2-G4-I16-EP,5556.2,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
17,5,3,,360,mg_ww/day,246.5,425.1,621.3,536,,,,,mg,E-T3-G5-I17-CA,5563.4,5652.7,mg,,mg_dw,F-T3-G5-I17-CA,5529,NA,mg,,mg_dw,26/10/2021,29/10/2021,,27/10/2021,,,1,NA,,
18,5,3,M,360,mg_ww/day,137.9,194.9,299.4,424.5,,225.3,96.9,32.7,mg,E-T3-G5-I18-EP,5579.2,5631.1,mg,,mg_dw,F-T3-G5-I18-EP,5553.4,5692.6,mg,,mg_dw,26/10/2021,,02/11/2021,27/10/2021,,,0,1,,
19,5,3,,360,mg_ww/day,361.4,532.6,718.4,611.3,,,,,mg,E-T3-G5-I19-CA,5547,5635.9,mg,,mg_dw,F-T3-G5-I19-CA,5531.6,NA,mg,,mg_dw,26/10/2021,29/10/2021,,27/10/2021,,,1,NA,,
20,5,3,F,360,mg_ww/day,231.3,408.7,614.7,790.4,,361.5,136,55.8,mg,E-T3-G5-I20-EP,5544.9,5673.2,mg,,mg_dw,F-T3-G5-I20-EP,5579,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
21,6,3,,360,mg_ww/day,311.2,434.9,644.5,803.8,,,,,mg,E-T3-G6-I21-CA,5560.2,5697.4,mg,,mg_dw,F-T3-G6-I21-CA,5560.3,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
22,6,3,F,360,mg_ww/day,240.6,408.1,592,825,,350.5,125.4,57.2,mg,E-T3-G6-I22-EP,5551.7,5680.3,mg,,mg_dw,F-T3-G6-I22-EP,5571.4,NA,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
23,6,3,,360,mg_ww/day,283.5,440.2,632.8,827.5,,,,,mg,E-T3-G6-I23-CA,5539.1,5672.6,mg,,mg_dw,F-T3-G6-I23-CA,5537.5,NA,mg,,mg_dw,26/10/2021,,,27/10/2021,,,1,NA,,
24,6,3,M,360,mg_ww/day,365.9,504.9,722.4,487.6,,315.2,102.3,43.4,mg,E-T3-G6-I24-EP,5529.4,5613.8,mg,,mg_dw,F-T3-G6-I24-EP,5538.1,NA,mg,,mg_dw,26/10/2021,29/10/2021,01/11/2021,27/10/2021,,,0,1,,
25,7,4,,480,mg_ww/day,354.7,541.8,786.7,578.3,,,,,mg,E-T4-G7-I25-CA,5571,5675.5,mg,,mg_dw,F-T4-G7-I25-CA,5581.2,5601.8,mg,,mg_dw,26/10/2021,29/10/2021,,27/10/2021,,,1,NA,,
26,7,4,M,480,mg_ww/day,270.6,458.6,645.3,925,,406.6,156.1,72.5,mg,E-T4-G7-I26-EP,5542.5,5736.5,mg,,mg_dw,F-T4-G7-I26-EP,5546.9,5547.5,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
27,7,4,,480,mg_ww/day,278.7,475.4,676.8,584.8,,,,,mg,E-T4-G7-I27-CA,5564.2,5750.2,mg,,mg_dw,F-T4-G7-I27-CA,5560.1,5570.7,mg,,mg_dw,26/10/2021,29/10/2021,,27/10/2021,,,1,NA,,
28,7,4,M,480,mg_ww/day,268.8,491.2,664.6,925.4,,389.5,137.8,64.2,mg,E-T4-G7-I28-EP,5535.7,5676.4,mg,,mg_dw,F-T4-G7-I28-EP,5558,5558.8,mg,,mg_dw,26/10/2021,,01/11/2021,27/10/2021,,,0,1,,
29,8,4,,480,mg_ww/day,302.3,513.3,678.8,542.4,,,,,mg,E-T4-G8-I29-CA,5556.2,5699.7,mg,,mg_dw,F-T4-G8-I29-CA,5535.7,NA,mg,,mg_dw,26/10/2021,29/10/2021,,27/10/2021,,,1,NA,,
